NP_RLSE_YMD,MD_재고비용,MD_하역비,MD_결품기회비용,MD_총비용,ML_재고비용,ML_하역비,ML_결품기회비용,ML_총비용,절감액(MD-ML),MD_재고비용_누적,MD_하역비_누적,MD_결품기회비용_누적,MD_총비용_누적,ML_재고비용_누적,ML_하역비_누적,ML_결품기회비용_누적,ML_총비용_누적,절감액(MD-ML)_누적
2025-01-08,3411641.124931507,1773000.0,227500.0000000001,5412141.124931507,4895279.022270059,2152350.0,1839036.0000000002,8886665.02227006,-3474523.8973385524,3411641.124931507,1773000.0,227500.0000000001,5412141.124931507,4895279.022270059,2152350.0,1839036.0000000002,8886665.02227006,-3474523.8973385524
2025-01-09,9480866.250567514,549720.0,132391.99999999997,10162978.250567514,2493613.5306066535,324090.0,6958105.0,9775808.530606654,387169.7199608609,12892507.375499021,2322720.0,359892.00000000006,15575119.375499021,7388892.552876713,2476440.0,8797141.0,18662473.55287671,-3087354.1773776915
2025-01-15,3841169.4093150687,536310.0,96479.99999999994,4473959.409315068,3220369.6024657534,529830.0,730000.0,4480199.602465753,-6240.193150685169,16733676.78481409,2859030.0,456372.0,20049078.78481409,10609262.155342467,3006270.0,9527141.0,23142673.155342463,-3093594.3705283767
2025-01-22,2169334.925479452,716130.0,29520.00000000007,2914984.925479452,2321197.450410959,763560.0,52325.0,3137082.450410959,-222097.52493150672,18903011.710293543,3575160.0,485892.00000000006,22964063.710293543,12930459.605753426,3769830.0,9579466.0,26279755.60575342,-3315691.8954598834
2025-01-23,4513782.942465753,328230.0,0.0,4842012.942465753,684442.404774951,128160.0,1250525.9999999998,2063128.4047749508,2778884.5376908025,23416794.652759295,3903390.0,485892.00000000006,27806076.652759295,13614902.010528376,3897990.0,10829992.0,28342884.01052837,-536807.3577690809
2025-01-27,321028.697925636,115110.0,4162355.999999997,4598494.697925633,742586.5473972603,172350.0,0.0,914936.5473972603,3683558.1505283723,23737823.35068493,4018500.0,4648247.999999997,32404571.350684926,14357488.557925636,4070340.0,10829992.0,29257820.55792563,3146750.7927592914
2025-01-30,937672.2136986301,225990.0,0.0,1163662.2136986302,374818.3880234834,120600.0,6119352.0,6614770.388023484,-5451108.174324853,24675495.56438356,4244490.0,4648247.999999997,33568233.56438356,14732306.945949119,4190940.0,16949344.0,35872590.945949115,-2304357.381565562
2025-02-03,124632.45119373777,18180.0,4657954.0,4800766.451193738,332556.40438356163,45540.0,1319944.0,1698040.4043835616,3102726.046810176,24800128.015577298,4262670.0,9306201.999999996,38369000.015577294,15064863.350332681,4236480.0,18269288.0,37570631.35033268,798368.6652446142
2025-02-05,1655057.8602739726,472500.0,2478348.0,4605905.860273972,1796493.2819960862,482490.0,359778.00000000006,2638761.2819960862,1967144.578277886,26455185.87585127,4735170.0,11784549.999999996,42974905.875851266,16861356.632328767,4718970.0,18629066.0,40209392.63232876,2765513.2435225
2025-02-12,7100227.07520548,2699460.0,58435.00000000006,9858122.075205479,4905871.37776908,2301930.0,1575514.0000000002,8783315.37776908,1074806.697436398,33555412.95105675,7434630.0,11842984.999999996,52833027.95105675,21767228.010097846,7020900.0,20204580.0,48992708.01009785,3840319.940958898
2025-02-19,4585302.438590998,1606320.0,111315.9999999999,6302938.438590998,5924817.251780822,1830330.0,0.0,7755147.251780822,-1452208.813189824,38140715.389647745,9040950.0,11954300.999999996,59135966.389647745,27692045.26187867,8851230.0,20204580.0,56747855.26187867,2388111.127769074
2025-02-26,9625330.033972602,3235410.0,288696.00000000035,13149436.033972602,9274931.81410959,3284370.0,735279.0000000008,13294580.81410959,-145144.78013698757,47766045.42362034,12276360.0,12242996.999999996,72285402.42362034,36966977.07598826,12135600.0,20939859.0,70042436.07598826,2242966.3476320864
2025-03-05,4892906.0520547945,835200.0,0.0,5728106.0520547945,3604763.5347945206,707310.0,0.0,4312073.534794521,1416032.517260274,52658951.475675136,13111560.0,12242996.999999996,78013508.47567514,40571740.61078279,12842910.0,20939859.0,74354509.61078279,3658998.8648923603
2025-03-12,3343518.3506849315,1522440.0,42379.99999999994,4908338.3506849315,2600227.6642465754,1197900.0,80677.99999999875,3878805.664246574,1029532.6864383575,56002469.82636007,14634000.0,12285376.999999996,82921846.82636006,43171968.27502936,14040810.0,21020537.0,78233315.27502936,4688531.551330717
2025-03-19,2676013.314520548,405990.0,0.0,3082003.314520548,1596513.260410959,305280.0,50989.00000000013,1952782.2604109591,1129221.054109589,58678483.140880615,15039990.0,12285376.999999996,86003850.14088061,44768481.53544032,14346090.0,21071526.0,80186097.53544033,5817752.6054403065
2025-03-26,4856449.793424658,1948320.0,292223.99999999994,7096993.793424658,4620066.860587084,1867140.0,5555828.0,12043034.860587085,-4946041.067162427,63534932.93430527,16988310.0,12577600.999999996,93100843.93430527,49388548.3960274,16213230.0,26627354.0,92229132.39602742,871711.5382778794
2025-03-28,2190953.5320547945,736470.0,0.0,2927423.5320547945,906698.2105675146,535410.0,1022999.9999999998,2465108.2105675144,462315.3214872801,65725886.46636007,17724780.0,12577600.999999996,96028267.46636006,50295246.60659491,16748640.0,27650354.0,94694240.60659494,1334026.8597651594
2025-04-02,2138936.6674755383,768510.0,191040.00000000006,3098486.6674755383,3178572.502739726,927270.0,67639.99999999993,4173482.502739726,-1074995.8352641878,67864823.13383561,18493290.0,12768640.999999996,99126754.1338356,53473819.10933464,17675910.0,27717994.0,98867723.10933466,259031.02450097166
2025-04-04,330105.6909589041,164970.0,0.0,495075.6909589041,298027.5184931507,160380.0,0.0,458407.5184931507,36668.17246575339,68194928.82479452,18658260.0,12768640.999999996,99621829.8247945,53771846.62782779,17836290.0,27717994.0,99326130.62782781,295699.19696672505
2025-04-09,6644812.755459882,1688670.0,269572.0,8603054.755459882,7346101.58109589,1805580.0,101928.0000000001,9253609.581095891,-650554.8256360088,74839741.5802544,20346930.0,13038212.999999996,108224884.58025438,61117948.20892368,19641870.0,27819922.0,108579740.2089237,-354855.6286692837
2025-04-16,2442799.213228963,1091070.0,257039.99999999977,3790909.2132289624,2737500.126438356,1151100.0,29273.999999999676,3917874.126438356,-126964.91320939362,77282540.79348336,21438000.0,13295252.999999996,112015793.79348333,63855448.33536204,20792970.0,27849196.0,112497614.33536205,-481820.5418786773
2025-04-23,3112134.0394129157,1974420.0,15160686.0,20247240.039412916,8677335.31890411,3030120.0,222332.0,11929787.31890411,8317452.720508806,80394674.83289628,23412420.0,28455938.999999996,132263033.83289625,72532783.65426615,23823090.0,28071528.0,124427401.65426615,7835632.178630129
2025-04-30,5291188.176829746,1929960.0,2382517.9999999995,9603666.176829746,4412121.403992172,1685610.0,2278747.0,8376478.403992172,1227187.7728375737,85685863.00972602,25342380.0,30838456.999999996,141866700.009726,76944905.05825832,25508700.0,30350275.0,132803880.05825832,9062819.951467704
2025-05-01,412835.9847358122,356310.0,1543920.0000000002,2313065.9847358125,594589.6136986301,424530.0,5039.9999999995225,1024159.6136986297,1288906.3710371829,86098698.99446183,25698690.0,32382376.999999996,144179765.9944618,77539494.67195696,25933230.0,30355315.0,133828039.67195696,10351726.322504887
2025-05-07,9804119.66293542,1139130.0,2184552.0,13127801.66293542,8968345.013424657,1157850.0,161951.9999999999,10288147.013424657,2839654.6495107636,95902818.65739726,26837820.0,34566929.0,157307567.6573972,86507839.68538162,27091080.0,30517267.0,144116186.68538162,13191380.972015651
2025-05-14,5222283.7222700585,1572210.0,211028.00000000012,7005521.7222700585,4211649.795812133,1389690.0,218327.99999999983,5819667.795812133,1185853.9264579257,101125102.37966731,28410030.0,34777957.0,164313089.37966728,90719489.48119375,28480770.0,30735595.0,149935854.48119375,14377234.898473576
2025-05-21,5141043.431565558,1812780.0,3642567.0000000005,10596390.431565559,5107951.437358121,1816470.0,2052475.9999999986,8976897.43735812,1619492.994207438,106266145.81123286,30222810.0,38420524.0,174909479.81123284,95827440.91855188,30297240.0,32788071.0,158912751.91855186,15996727.892681014
2025-05-28,42187088.61745597,3484620.0,5665488.0,51337196.61745597,51428217.008630134,3616740.0,0.0,55044957.008630134,-3707760.3911741674,148453234.42868882,33707430.0,44086012.0,226246676.4286888,147255657.92718202,33913980.0,32788071.0,213957708.927182,12288967.501506846
2025-05-30,3946797.52,571320.0,0.0,4518117.52,1133124.3599999999,309690.0,0.0,1442814.3599999999,3075303.1599999997,152400031.94868883,34278750.0,44086012.0,230764793.9486888,148388782.28718203,34223670.0,32788071.0,215400523.287182,15364270.661506847
2025-06-04,1105384.4219178082,319590.0,3728.0000000003974,1428702.4219178087,970319.7980821918,323820.0,0.0,1294139.7980821917,134562.62383561698,153505416.37060663,34598340.0,44089740.0,232193496.3706066,149359102.08526424,34547490.0,32788071.0,216694663.0852642,15498833.285342464
2025-06-06,978025.3013698631,657630.0,0.0,1635655.301369863,782008.2410958904,589590.0,0.0,1371598.2410958903,264057.0602739728,154483441.6719765,35255970.0,44089740.0,233829151.67197648,150141110.32636014,35137080.0,32788071.0,218066261.3263601,15762890.345616437
2025-06-11,4932462.318356165,3350520.0,32580.00000000085,8315562.318356166,6134692.5,3876210.0,403352.99999999977,10414255.5,-2098693.1816438343,159415903.99033266,38606490.0,44122320.0,242144713.99033263,156275802.82636014,39013290.0,33191424.0,228480516.8263601,13664197.163972603
2025-06-18,24684502.153150685,1010610.0,0.0,25695112.153150685,9369537.057181995,746460.0,2111224.0000000005,12227221.057181997,13467891.095968688,184100406.14348334,39617100.0,44122320.0,267839826.1434833,165645339.88354212,39759750.0,35302648.0,240707737.8835421,27132088.25994129
2025-06-25,1644106.5016438356,517230.0,81692.00000000012,2243028.5016438356,1442293.3098630137,468090.0,33619.999999999636,1944003.3098630132,299025.19178082235,185744512.64512718,40134330.0,44204012.0,270082854.6451271,167087633.19340512,40227840.0,35336268.0,242651741.1934051,27431113.451722115
2025-07-02,2108261.251232877,1187640.0,72575.99999999997,3368477.251232877,2148745.8416438354,1195740.0,35449.99999999984,3379935.8416438354,-11458.59041095851,187852773.89636004,41321970.0,44276588.0,273451331.89636,169236379.03504896,41423580.0,35371718.0,246031677.03504893,27419654.861311156
2025-07-04,3746435.0,1747170.0,0.0,5493605.0,1967845.0,1259100.0,0.0,3226945.0,2266660.0,191599208.89636004,43069140.0,44276588.0,278944936.89636,171204224.03504896,42682680.0,35371718.0,249258622.03504893,29686314.861311156
2025-07-09,3579679.651232877,1587600.0,171360.0,5338639.651232877,2795995.4667123286,1354680.0,122907.00000000026,4273582.466712329,1065057.1845205482,195178888.5475929,44656740.0,44447948.0,284283576.5475929,174000219.5017613,44037360.0,35494625.0,253532204.50176126,30751372.045831703
2025-07-16,4164320.98444227,2428020.0,384365.0000000001,6976705.98444227,4629082.498219178,2627190.0,38386.00000000057,7294658.498219179,-317952.5137769086,199343209.53203517,47084760.0,44832313.0,291260282.5320352,178629301.99998048,46664550.0,35533011.0,260826862.99998045,30433419.532054793
2025-07-17,1426870.08,787050.0,0.0,2213920.08,549010.76,526590.0,304658.0000000004,1380258.7600000005,833661.3199999996,200770079.61203519,47871810.0,44832313.0,293474202.61203516,179178312.75998047,47191140.0,35837669.0,262207121.75998044,31267080.852054793
2025-07-23,8463462.298082191,2206530.0,22680.000000000007,10692672.298082191,4677580.172681018,1753560.0,1337474.0,7768614.172681018,2924058.1254011737,209233541.9101174,50078340.0,44854993.0,304166874.9101173,183855892.93266147,48944700.0,37175143.0,269975735.9326615,34191138.977455966
2025-07-30,10403230.903561644,1599660.0,0.0,12002890.903561644,8304462.7076712325,1414980.0,0.0,9719442.707671233,2283448.1958904117,219636772.81367904,51678000.0,44854993.0,316169765.813679,192160355.6403327,50359680.0,37175143.0,279695178.6403327,36474587.17334638
2025-07-31,420803.71342465753,54990.0,0.0,475793.71342465753,408634.53534246574,51120.0,52638.000000000015,512392.5353424658,-36598.821917808265,220057576.5271037,51732990.0,44854993.0,316645559.52710366,192568990.17567515,50410800.0,37227781.0,280207571.17567515,36437988.35142857
2025-08-06,6445057.110684931,2374740.0,77299.99999999983,8897097.110684931,4431839.03,2048670.0,0.0,6480509.03,2416588.080684931,226502633.63778862,54107730.0,44932293.0,325542656.6377886,197000829.20567515,52459470.0,37227781.0,286688080.2056751,38854576.4321135
2025-08-13,4781430.710136986,1163790.0,0.0,5945220.710136986,3788852.0001369864,1112310.0,52380.00000000005,4953542.000136986,991678.71,231284064.3479256,55271520.0,44932293.0,331487877.3479256,200789681.20581216,53571780.0,37280161.0,291641622.2058121,39846255.1421135
2025-08-15,1135154.4349119375,1110150.0,750727.0,2996031.4349119375,1528145.044520548,1145610.0,0.0,2673755.044520548,322276.3903913894,232419218.78283754,56381670.0,45683020.0,334483908.78283757,202317826.2503327,54717390.0,37280161.0,294315377.25033265,40168531.53250489
2025-08-20,4192831.130958904,2967480.0,55888.000000000015,7216199.1309589045,4914174.83369863,3369870.0,0.0,8284044.83369863,-1067845.7027397258,236612049.91379645,59349150.0,45738908.0,341700107.9137965,207232001.08403134,58087260.0,37280161.0,302599422.0840313,39100685.82976516
2025-08-22,998351.3430136987,683280.0,0.0,1681631.3430136987,897965.382739726,649620.0,0.0,1547585.382739726,134045.9602739727,237610401.25681016,60032430.0,45738908.0,343381739.2568102,208129966.46677107,58736880.0,37280161.0,304147007.466771,39234731.79003914
2025-08-27,4634926.858356165,2325870.0,399114.0000000004,7359910.858356165,3363827.3783561643,1941480.0,1724935.999999999,7030243.378356163,329667.4800000014,242245328.11516634,62358300.0,46138022.0,350741650.11516637,211493793.84512722,60678360.0,39005097.0,311177250.84512717,39564399.27003914
2025-09-03,924364.252739726,167130.0,18074.999999999956,1109569.252739726,926205.5184931507,178380.0,133385.0000000003,1237970.518493151,-128401.26575342496,243169692.36790606,62525430.0,46156097.0,351851219.3679061,212419999.36362037,60856740.0,39138482.0,312415221.36362034,39435998.004285716
2025-09-10,2672562.0487671234,547740.0,26380.000000000076,3246682.0487671234,2288527.0447945204,528480.0,0.0,2817007.0447945204,429675.003972603,245842254.41667318,63073170.0,46182477.0,355097901.41667324,214708526.4084149,61385220.0,39138482.0,315232228.40841484,39865673.00825832
2025-09-11,929805.9260273973,84060.0,0.0,1013865.9260273973,720141.4678082191,76860.0,393120.00000000076,1190121.4678082198,-176255.54178082256,246772060.34270057,63157230.0,46182477.0,356111767.34270066,215428667.87622312,61462080.0,39531602.0,316422349.8762231,39689417.4664775
2025-09-17,5677212.6857925635,2336040.0,1864919.9999999998,9878172.685792563,5854796.875068493,2361960.0,253867.99999999965,8470624.875068493,1407547.8107240703,252449273.02849314,65493270.0,48047397.0,365989940.0284932,221283464.7512916,63824040.0,39785470.0,324892974.7512916,41096965.27720157
2025-09-24,3160859.6202739724,997830.0,811415.9999999994,4970105.620273972,3005642.939217221,902700.0,1093366.0000000005,5001708.939217222,-31603.318943249993,255610132.6487671,66491100.0,48858813.0,370960045.6487672,224289107.6905088,64726740.0,40878836.0,329894683.6905088,41065361.95825832
2025-09-26,2116602.073972603,867420.0,0.0,2984022.073972603,3064779.2410958903,1019880.0,0.0,4084659.2410958903,-1100637.1671232875,257726734.72273973,67358520.0,48858813.0,373944067.72273976,227353886.9316047,65746620.0,40878836.0,333979342.9316047,39964724.791135035
2025-10-01,61134354.624618396,1404360.0,2397492.0,64936206.624618396,34346922.144383565,1385730.0,0.0,35732652.144383565,29203554.48023483,318861089.3473581,68762880.0,51256305.0,438880274.34735817,261700809.0759883,67132350.0,40878836.0,369711995.07598823,69168279.27136987
2025-10-15,6111040.615870842,2305530.0,1352198.9999999998,9768769.61587084,7198192.417475538,2521530.0,1150279.9999999998,10870002.417475538,-1101232.8016046975,324972129.96322894,71068410.0,52608504.0,448649043.963229,268899001.4934638,69653880.0,42029116.0,380581997.49346375,68067046.46976517
2025-10-22,8317662.016986301,1271970.0,0.0,9589632.016986301,6883498.654657534,1169820.0,211650.00000000067,8264968.654657535,1324663.362328766,333289791.98021525,72340380.0,52608504.0,458238675.9802153,275782500.14812136,70823700.0,42240766.0,388846966.1481213,69391709.83209394
2025-10-29,40467745.446105674,6077070.0,11136006.000000002,57680821.446105674,38133859.13041096,5513580.0,22692.00000000027,43670131.13041096,14010690.315694712,373757537.4263209,78417450.0,63744510.0,515919497.42632097,313916359.2785323,76337280.0,42263458.0,432517097.27853227,83402400.14778864
2025-10-31,20782536.495342467,830250.0,0.0,21612786.495342467,10427838.799178082,602730.0,0.0,11030568.799178082,10582217.696164384,394540073.9216634,79247700.0,63744510.0,537532283.9216634,324344198.0777104,76940010.0,42263458.0,443547666.07771033,93984617.84395303
2025-11-05,2331741.580117417,560250.0,1015200.0,3907191.5801174166,2523651.45,585810.0,371791.00000000023,3481252.45,425939.1301174164,396871815.5017808,79807950.0,64759710.0,541439475.5017809,326867849.5277104,77525820.0,42635249.0,447028918.5277103,94410556.97407044
2025-11-12,2158683.377005871,544950.0,317225.0,3020858.377005871,2212117.489041096,578340.0,60546.000000000146,2851003.489041096,169854.88796477485,399030498.8787867,80352900.0,65076935.0,544460333.8787867,329079967.01675147,78104160.0,42695795.0,449879922.0167514,94580411.86203521
2025-11-19,5304174.638630137,4513680.0,7.849028094142341e-10,9817854.638630139,4020598.0706849317,4751010.0,68183.99999999994,8839792.070684932,978062.5679452065,404334673.51741683,84866580.0,65076935.0,554278188.5174168,333100565.0874364,82855170.0,42763979.0,458719714.0874363,95558474.42998043
2025-11-26,20523066.40657534,5298840.0,4313108.0,30135014.40657534,14021505.859041095,4723920.0,2312683.9999999995,21058109.859041095,9076904.547534246,424857739.92399216,90165420.0,69390043.0,584413202.9239922,347122070.9464775,87579090.0,45076663.0,479777823.9464774,104635378.97751467
2025-12-03,6725593.614500979,3108510.0,5979925.0,15814028.614500979,6951026.061643836,3213810.0,21666.000000000135,10186502.061643835,5627526.552857144,431583333.53849316,93273930.0,75369968.0,600227231.5384932,354073097.0081213,90792900.0,45098329.0,489964326.00812125,110262905.53037181
2025-12-05,378284.1316046967,351270.0,8412540.0,9142094.131604696,923185.3616438357,527310.0,0.0,1450495.3616438357,7691598.76996086,431961617.6700978,93625200.0,83782508.0,609369325.6700978,354996282.36976516,91320210.0,45098329.0,491414821.3697651,117954504.30033268
2025-12-10,4130570.2010958903,989730.0,7836862.0,12957162.20109589,4710904.696712329,1051200.0,528701.9999999998,6290806.696712329,6666355.504383561,436092187.8711937,94614930.0,91619370.0,622326487.8711938,359707187.0664775,92371410.0,45627031.0,497705628.0664774,124620859.80471624
2025-12-11,310843.0405479452,148860.0,0.0,459703.0405479452,340791.0309589041,158130.0,0.0,498921.0309589041,-39217.99041095894,436403030.9117417,94763790.0,91619370.0,622786190.9117417,360047978.09743637,92529540.0,45627031.0,498204549.0974363,124581641.81430529
2025-12-17,4934042.122191781,1637190.0,19860.000000000036,6591092.122191781,4674521.019217221,1526760.0,592820.0000000002,6794101.019217221,-203008.8970254399,441337073.03393346,96400980.0,91639230.0,629377283.0339335,364722499.11665356,94056300.0,46219851.0,504998650.1166535,124378632.91727985
2025-12-24,11851029.736086106,8655120.0,2104149.999999999,22610299.736086104,11410624.70590998,8115750.0,695187.9999999993,20221562.70590998,2388737.0301761255,453188102.7700196,105056100.0,93743380.0,651987582.7700197,376133123.8225635,102172050.0,46915039.0,525220212.82256347,126767369.94745597
